number_of_reviews,price_range,ratingValue,name,address
125,$11-30,5.0,DEE DEE,1906 E Cesar Chavez St Austin TX 78702
1041,Above $61,4.0,Canlis,2576 Aurora Ave N Seattle WA 98109
146,$11-30,4.5,goPoké,625 S King St Seattle WA 98104
266,$11-30,4.5,Thursday Kitchen,424 E 9th St New York NY 10009
159,$11-30,4.5,Simple,109 Eldridge St New York NY 10002
287,$11-30,4.5,Dutch Freds,307 W 47th St New York NY 10036
1210,$11-30,4.5,List,2226 1st Ave Seattle WA 98121
890,$11-30,4.0,Second Bar + Kitchen,200 Congress Ave Austin TX 78701
772,$31-60,4.5,Barley Swine,6555 Burnet Rd Austin TX 78757
576,$11-30,4.5,Il Corvo Pasta,217 James St Seattle WA 98104
192,$31-60,4.0,Emmer & Rye,51 Rainey St Austin TX 78701
392,$11-30,4.0,Reserve a Table,1346 Lincoln Ave San Jose CA 95125
165,$11-30,4.5,Herb & Bitter Public House,516 Broadway E Seattle WA 98102
103,$11-30,5.0,Kichin,297 Broadway Brooklyn NY 11211
379,$11-30,4.5,Karczma,136 Greenpoint Ave Brooklyn NY 11222
121,$11-30,4.5,Excuse My French,96 Orchard St New York NY 10002
142,$11-30,4.0,The Factory - Cafe With a Soul,7718 Burnet Rd Austin TX 78757
21,$11-30,5.0,Post,42 Ave B New York NY 10009
67,$11-30,4.5,Mahji,617 Grand St Brooklyn NY 11211
1322,$31-60,4.5,Reserve a Table,558 Broome St New York NY 10013
87,$11-30,4.5,Win Son,159 Graham Ave Brooklyn NY 11206
209,$11-30,4.5,Da Claudio,21 Ann St New York NY 10038
36,$11-30,4.0,Waka Ramen & Izakaya,432 E 13th St New York NY 10009
2251,$11-30,4.0,Love Mamak,174 2nd Ave New York NY 10003
110,$11-30,4.5,Samba Kitchen & Bar,661 9th Ave New York NY 10036
217,$11-30,4.5,Jack Allen’s Kitchen 360,3600 North Capital of Texas Hwy Austin TX 78746
7,Under $10,5.0,Way South Philly Deli,5222 Burnet Rd Austin TX 78756
136,$11-30,4.5,Reserve a Table,327 2nd Ave New York NY 10003
780,$11-30,4.0,Roaring Fork,10850 Stonelake Blvd Austin TX 78759
198,$11-30,4.0,Corner,110 E 2nd St Austin TX 78701
1143,$11-30,4.5,Jack Allen’s Kitchen,7720 Hwy 71 W Austin TX 78735
119,$11-30,4.5,Royal Jelly,704 W St Johns Ave Austin TX 78752
21,$11-30,5.0,Dragonbeard Kitchen,8201 Cross Park Dr Austin TX 78754
92,$31-60,4.0,Eberly,615 S Lamar Blvd Austin TX 78704
163,$11-30,4.0,Irene’s,506 W Ave Austin TX 78701
616,$11-30,4.0,Paesano Ristorante Italiano,350 W Julian St San Jose CA 95110
894,$11-30,4.0,Q Pot Korean BBQ & Hot Pot,1610 Capitol Expy San Jose CA 95121
22,$11-30,4.5,Reserve a Table,3250 Zanker Rd San Jose CA 95134
56,Under $10,4.0,House of Teriyaki,1196 N Capitol Ave San Jose CA 95132
160,$11-30,4.0,Sizzle Spot,740 Story Rd San Jose CA 95122
67,$11-30,4.0,Elevenfifty New Lounge & Restaurant,1150 Murphy Ave San Jose CA 95131
88,$11-30,4.0,Mi Quang Co Thao,1560 N 4th St San Jose CA 95112
19,$11-30,4.0,Tac-Oh!,399 S 1st St San Jose CA 95113
106,$11-30,4.0,Wenzhou Fish Noodles & More,625 N 6th St San Jose CA 95112
45,$11-30,4.5,Sauce & Barrel,97 Washington St New York NY 10006
659,$11-30,4.5,Go Fish Poke Bar,1183 S De Anza Blvd San Jose CA 95129
43,$31-60,5.0,La Barrita,132 Montague St Brooklyn NY 11201
287,$11-30,4.5,TØRST,615 Manhattan Ave Brooklyn NY 11222
30,$11-30,5.0,Musashi Asian Cuisine,495 Grand St Brooklyn NY 11211
1150,$11-30,4.0,Reserve a Table,3 Greenwich Ave New York NY 10014
77,$11-30,4.5,Gersi,316 Court St Brooklyn NY 11231
142,$11-30,4.5,Trademark Taste & Grind,38 W 36th St New York NY 10018
1082,$11-30,4.0,Rubirosa,235 Mulberry St New York NY 10012
301,$11-30,4.0,Nue,1519 14th Ave Seattle WA 98122
580,$11-30,4.0,Joule,3506 Stone Way N Seattle WA 98103
762,$11-30,4.5,The Zig Zag Café,1501 Western Ave Seattle WA 98101
658,Under $10,4.5,Mighty-O Donuts,2110 N 55th St Seattle WA 98103
19,$11-30,4.0,Copal,323 Occidental Ave S Seattle WA 98104
9,$31-60,5.0,L’Oursin,1315 E Jefferson St Seattle WA 98122
1057,$11-30,4.0,Sway,1417 S 1st St Austin TX 78704
