number_of_reviews,price_range,ratingValue,name,address
24 reviews,$20,4.6,La Victoria Taqueria,"140 East San Carlos Street, San Jose, CA 95112"
19 reviews,$40,4.6,The Counter,"Santana Row, 3055 Olin Avenue, Suite 1035, San Jose, CA 95128"
44 reviews,$20,4.9,Falafel's Drive-in,"2301 Stevens Creek Boulevard, San Jose, CA 95128"
17 reviews,$40,4.4,New Krung Thai,"640 S Winchester Boulevard,  San Jose, CA 95128"
28 reviews,$70,4.1,Original Joe's,"301 South First Street, San Jose, CA 95113"
6 reviews,$30,4.2,Adelita's,"1896 Curtner Avenue, San Jose, CA 95124"
14 reviews,$65,4.0,Maggiano's Little Italy,"Santana Row, 3055 Olin Avenue, Suite 1000, San Jose, CA 95128"
26 reviews,$40,4.4,Blue Rock BBQ,"3001 Meridian Avenue, San Jose, CA 95124"
16 reviews,$43,4.2,Zeni Ethiopian Restaurant,"1320 Saratoga Avenue, San Jose, CA 95129"
9 reviews,$35,4.3,Sam's Bar-B-Que,"1110 South Bascom Avenue, San Jose, CA 95128"
14 reviews,$65,4.0,Amber India,"377 Santana Row, Suite 1140, San Jose, CA 95128"
15 reviews,$75,4.1,Henry's Hi-Life,"301 West Street John Street, San Jose, CA 95110"
13 reviews,$13,3.7,Yard House,"300 Santana Row, Suite 101, San Jose, CA 95128"
12 reviews,$30,4.7,In-N-Out Burger,"5611 Santa Teresa Boulevard, San Jose, CA 95123"
11 reviews,$45,4.2,Pizza Antica,"334 Santana Row, San Jose, CA 95128"
7 reviews,$43,4.0,Scramblz,"5055 Almaden Expressway, San Jose, CA 95118"
12 reviews,$43,4.3,Naglee Park Garage,"505 East San Carlos Street, San Jose, CA 95112"
10 reviews,$45,4.0,Aqui Cal-Mex,"5679 Snell Avenue, San Jose, CA 95123"
8 reviews,$80,4.3,BJ's,"Westfield Oakridge, 925 Blossom Hill Road, San Jose, CA 95123"
14 reviews,$40,4.3,Il Fornaio,"302 S Market Street,  San Jose, CA 95113"
12 reviews,$25,4.0,Habana Cuba,"238 Race Street, San Jose, CA 95126"
2 reviews,$60,4.1,Aqui,"1145 Lincoln Avenue, San Jose, CA 95125"
2 reviews,$50,3.1,Pieology,"1095 E Brokaw Road, San Jose, CA 95131"
10 reviews,$45,3.7,Blowfish Sushi To Die For,"355 Santana Row, San Jose, CA 95128"
11 reviews,$40,3.7,Straits,"333 Santana Row, San Jose, CA 95128"
5 reviews,$35,3.8,Poor House Bistro,"91 S Autumn Street, San Jose, CA 95110"
27 reviews,$20,4.3,P. Terry's,"404 S Lamar Boulevard, Austin, TX 78704"
129 reviews,$25,4.5,Pike Place Chowder,"Pike Place Market, 1530 Post Alley, Seattle, WA 98101"
38 reviews,$50,4.3,Hyde Park Bar & Grill,"4206 Duval Street, Austin, TX 78751"
38 reviews,$40,4.0,La Barbecue,"1906 E Cesar Chavez Street, Austin, TX 78702"
21 reviews,$30,4.2,Whole Foods Market,"525 N Lamar Boulevard, Austin, TX 78703"
86 reviews,$35,3.8,Stubb's Bar-B-Q,"801 Red River Street, Austin, TX 78701"
33 reviews,$30,4.2,Bouldin Creek Cafe,"1900 S 1st Street, Austin, TX 78704"
43 reviews,$35,4.1,Chuy's,"1728 Barton Springs Road, Austin, TX 78704"
