,_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_ratingValue,ltable_price_range,ltable_number_of_reviews,rtable_name,rtable_address,rtable_ratingValue,rtable_price_range,rtable_number_of_reviews,gold_labels
6,6,10,2180,emmer & rye,51 Rainey St Austin TX 78701,4.0,$45,192,via 313,61 Rainey St Austin TX 78701,3.6,$30,8,0
20,20,55,668,the zig zag caf̩,1501 Western Ave Seattle WA 98101,4.5,$20,762,zig zag cafe,1501 Western Avenue Seattle WA 98101,3.9,$50,23,1
23,23,60,614,crow,823 5th Ave N Seattle WA 98109,4.0,$20,452,crow,823 5th Avenue North Seattle WA 98109,4.0,$50,37,1
27,27,66,2539,mkt.,2108 N 55th St Seattle WA 98103,4.5,$45,194,mkt.,2108 North 55th St Seattle WA 98103,3.3,$50,11,1
34,34,85,70,toulouse petit,601 Queen Anne Ave N Seattle WA 98109,4.0,$20,2797,toulouse petit,601 Queen Anne Avenue N Queen Anne: Lower Seattle WA 98109,4.7,$80,214,1
37,37,91,757,reserve a table,15005 Mount Hamilton Rd San Jose CA 95140,4.0,$45,390,grandview,15005 Mount Hamilton Road San Jose CA 95140,3.4,$65,1,0
44,44,95,2025,the city fish,30 E Santa Clara St San Jose CA 95113,4.5,$5,581,muchos,72 E Santa Clara St San Jose CA 95113,3.3,$25,3,0
52,52,101,509,enoteca vespaio,1610 S Congress Ave Austin TX 78704,4.0,$20,612,vespaio ristorante,1610 S Congress Avenue Austin TX 78704,3.9,$40,26,0
60,60,108,1276,odenyaki bistro,71 Curtner Ave San Jose CA 95125,4.0,$20,120,siena bistro,1359 Lincoln Avenue San Jose CA 95125,3.5,$90,1,0
61,61,111,1056,bar bay grill,375 Saratoga Ave San Jose CA 95129,4.0,$20,103,mitsuwa marketplace,675 Saratoga Ave San Jose CA 95129,3.6,$65,1,0
64,64,112,1861,poke house,1698 Hostetter Rd San Jose CA 95131,4.0,$20,579,goldilocks,1698 Hostetter Road San Jose CA 95131,3.2,$25,1,0
71,71,119,209,los tacos no.1,75 9th Ave New York NY 10011,4.5,$5,1466,buddakan,75 9th Avenue New York NY 10011,4.9,$125,134,0
75,75,129,651,thai villa,5 E 19th St New York NY 10003,4.5,$20,306,craft,43 E 19th St New York NY 10003,4.2,$140,34,0
81,81,139,414,reserve a table,1110 Willow St San Jose CA 95125,4.0,$20,1725,the table,1110 Willow St San Jose CA 95125,3.7,$85,6,1
85,85,146,556,tilikum place cafe,407 Cedar St Seattle WA 98121,4.5,$20,1107,tilikum place cafe,407 Cedar St Seattle WA 98121,4.5,$75,46,1
89,89,154,60,paseo caribbean food - fremont,4225 Fremont Ave N Seattle WA 98103,4.5,$5,4285,paseo,4225 Fremont Avenue N Seattle WA 98103,4.9,$25,181,1
