,_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_ratingValue,ltable_price_range,ltable_number_of_reviews,rtable_name,rtable_address,rtable_ratingValue,rtable_price_range,rtable_number_of_reviews,gold_labels
835,835,1222,175,mighty bowl,120 Macdougal St New York NY 10012,4.5,$5,103,pommes frites,128 Macdougal St New York NY 10012,4.8,$35,85,0
1029,1029,1546,2068,com ga nam an,348 E Santa Clara St San Jose CA 95113,4.0,$5,336,nick's,354 E Santa Clara St San Jose CA 95113,2.9,$13,1,0
1802,1802,2845,915,cedar door,201 Brazos St Austin TX 78701,3.5,$20,329,cedar door bar and grill,201 Brazos St Austin TX 78701,3.5,$40,24,1
1578,1578,2528,232,el borracho,Pike Place Market Seattle WA 98101,4.0,$20,406,matt's in the market,Pike Place Market 94 Pike St Seattle WA 98101,4.0,$55,77,0
1448,1448,2296,2071,bjâs restaurant & brewhouse,511 Coleman Ave San Jose CA 95110,2.5,$20,628,bj's,511 Coleman Avenue San Jose CA 95110,3.1,$13,1,1
971,971,1444,3041,angelouâs mexican grill,21 N 2nd St San Jose CA 95113,4.0,$5,530,el agave mexican grill,17 S 4th St San Jose CA 95113,-,$30,1,0
1322,1322,2094,1296,bamboo garden vegetarian cuisine,364 Roy St Seattle WA 98109,3.5,$20,410,bamboo garden,364 Roy St Seattle 98109,3.7,$40,19,1
1357,1357,2155,1393,an nam pho,6510 Roosevelt Way NE Seattle WA 98115,4.5,$5,104,bengal tiger,6509 Roosevelt Way NE Seattle WA 98115,3.9,$50,22,0
644,644,924,2180,javelina,69 Rainey St Austin TX 78701,3.5,$20,209,via 313,61 Rainey St Austin TX 78701,3.6,$30,8,0
487,487,727,1227,jackâs wife freda,224 Lafayette St New York NY 10012,4.0,$20,1079,jack's wife freda,224 Lafayette St New York NY 10012,4.0,$60,28,1
249,249,377,1850,trace,200 Lavaca St Austin TX 78701,4.0,$45,324,trace,200 Lavaca St Austin TX 78701,3.3,$90,11,1
829,829,1211,647,xiâan famous foods,67 Bayard St New York NY 10013,4.0,$5,683,chinatown ice cream factory,65 Bayard St New York NY 10013,4.4,$20,36,0
198,198,303,1582,sweet chick,178 Ludlow St New York NY 10002,4.0,$20,789,il laboratorio del gelato,188 Ludlow St New York NY 10002,4.0,$25,30,0
1959,1959,3113,1901,pho thaison,2438 W Anderson Ln Austin TX 78757,4.0,$5,499,pho thaison,2438 W Anderson Lane Suite A-3 Austin TX 78757,3.5,$30,12,1
512,512,753,1163,hotpot first shabu,171 Jackson St San Jose CA 95112,4.0,$20,124,shaburi,171 Jackson St San Jose CA 95112,3.7,$15,2,0
300,300,449,1790,reserve a table,611 E Pine St Seattle WA 98122,4.5,$20,345,stumptown coffee roasters,616 E Pine St Seattle WA 98122,3.6,$25,14,0
648,648,935,2060,caffe frascati,315 S 1st St San Jose CA 95113,4.0,$5,421,caffe frascati,315 S First St San Jose CA 95113,3.1,$40,1,1
23,23,60,614,crow,823 5th Ave N Seattle WA 98109,4.0,$20,452,crow,823 5th Avenue North Seattle WA 98109,4.0,$50,37,1
60,60,108,1276,odenyaki bistro,71 Curtner Ave San Jose CA 95125,4.0,$20,120,siena bistro,1359 Lincoln Avenue San Jose CA 95125,3.5,$90,1,0
1398,1398,2211,2662,cucina americana,9400 Roosevelt Way NE Seattle WA 98115,4.5,$20,25,salvatore ristorante italiano,6100 Roosevelt Way NE Seattle WA 98115,3.9,$60,11,0
1920,1920,3067,1652,winflo osteria,1315 W 6th St Austin TX 78703,3.5,$20,327,winflo,1315 W 6th St Austin TX 78703,3.3,$85,8,1
1275,1275,2027,713,cafe lago,2305 24th Ave E Seattle WA 98112,3.5,$20,169,cafe lago,2305 24th Avenue East WA 98112,3.6,$15,27,1
237,237,366,548,raku,342 E 6th St New York NY 10003,4.5,$20,350,veniero's pasticceria & caffe,342 E 11th St New York NY 10003,4.3,$20,33,0
1117,1117,1724,976,pho to thi #1,5499 Snell Ave San Jose CA 95123,4.0,$5,31,pho my,5499 Snell Avenue San Jose CA 95123,3.7,$15,1,1
1980,1980,3140,1204,chef li,2033 Camden Ave San Jose CA 95124,3.0,$20,210,chef li chinese,2033 Camden Avenue San Jose CA 95124,3.6,$13,3,1
845,845,1234,3067,hillside farmacy,1209 E 11th St Austin TX 78702,3.5,$20,594,the hightower,1209 E 7th St Austin TX 78702,3.1,$55,7,0
801,801,1176,104,reserve a table,378 Santana Row San Jose CA 95128,3.0,$20,1183,village california,378 Santana Row San Jose CA 95128,3.9,$35,11,0
746,746,1079,14,lb steak,334 Santana Row San Jose CA 95128,3.5,$45,1249,pizza antica,334 Santana Row San Jose CA 95128,4.2,$45,11,0
1154,1154,1804,1200,isabellaâs ,700 S Winchester Blvd San Jose CA 95128,3.5,$20,740,isabella's ,700 South Winchester Blvd San Jose CA 95128,3.1,$13,3,1
133,133,204,2041,la catalana,3720 N 1st St San Jose CA 95134,4.0,$20,369,la catalana,3720 N 1st St Suite A San Jose CA 95134,3.3,$90,1,1
1626,1626,2615,3159,elizabeth street cafe,1501 S 1st St Austin TX 78704,3.5,$20,953,dock & roll diner,1503 S 1st St Austin TX 78704,3.3,$35,9,0
828,828,1209,1328,hudson,5000 E Marginal Way S Seattle WA 98134,4.0,$20,328,hudson,5000 East Marginal Way S Seattle WA 98134,3.9,$75,27,1
402,402,590,1276,reserve a table,1359 Lincoln Ave San Jose CA 95125,4.0,$20,369,siena bistro,1359 Lincoln Avenue San Jose CA 95125,3.5,$90,1,0
546,546,798,1045,left bank - san jose,377 Santana Row San Jose CA 95128,3.0,$20,1540,fantasia,378 Santana Row San Jose CA 95128,3.4,$15,1,0
34,34,85,70,toulouse petit,601 Queen Anne Ave N Seattle WA 98109,4.0,$20,2797,toulouse petit,601 Queen Anne Avenue N Queen Anne: Lower Seattle WA 98109,4.7,$80,214,1
855,855,1249,1058,banana crÃªpe,248 Jackson St San Jose CA 95112,4.0,$5,816,banana crepe,248 Jackson St San Jose CA 95112,3.4,$35,3,1
1234,1234,1960,2353,the hamilton,998 Amsterdam Avenue New York NY 10025,4.5,$20,70,awash,947 Amsterdam Avenue New York NY 10025,4.2,$60,14,0
191,191,296,1056,hokkaido ramen santouka,675 Saratoga Ave San Jose CA 95129,4.0,$20,2482,mitsuwa marketplace,675 Saratoga Ave San Jose CA 95129,3.6,$65,1,0
1140,1140,1774,138,lua brazil,2600 E Cesar Chavez St Austin TX 78702,5.0,,7,juan in a million,2300 E Cesar Chavez St Austin TX 78702,4.0,$25,66,0
1941,1941,3088,2172,senor jalapeno taqueria,1759 Technology Dr San Jose CA 95110,3.5,$5,69,senor jalapeno,1759 Technology Drive San Jose CA 95110,2.9,$25,1,1
20,20,55,668,the zig zag cafÃ©,1501 Western Ave Seattle WA 98101,4.5,$20,762,zig zag cafe,1501 Western Avenue Seattle WA 98101,3.9,$50,23,1
1046,1046,1592,1636,julioâs cafÃ©,4230 Duval St Austin TX 78751,4.0,$5,309,julio's cafe,4230 Duval St Austin TX 78751,3.7,$40,15,1
1915,1915,3063,1967,flores mexican ,8300 N FM 620 Austin TX 78726,3.5,$20,160,flores mexican ,8300 FM 620 N Austin TX 78726,3.3,$50,14,0
1211,1211,1899,2545,americana,219 Broadway E Seattle WA 98102,4.0,$20,719,mirch masala,213 Broadway E Seattle WA 98102,3.5,$40,16,0
1930,1930,3080,1037,nobu,105 Hudson St New York NY 10013,4.0,$91,1295,ninja new york,25 Hudson St New York NY 10013,3.7,$90,29,0
2026,2026,3223,1898,halal time,1501 E 6th St Austin TX 78702,5.0,$5,42,salt and time,1912 E 7th St Austin TX 78702,3.3,$50,10,0
1534,1534,2445,3067,way south philly,1209 E 6th St Austin TX 78702,4.5,$5,241,the hightower,1209 E 7th St Austin TX 78702,3.1,$55,7,0
1644,1644,2642,2568,ikeâs love & sandwiches,75 E Santa Clara St San Jose CA 95113,4.0,$20,513,bakery mexico,87 E Santa Clara St San Jose CA 95113,3.1,$20,1,0
1063,1063,1645,2776,el taquito,1713 E Riverside Dr Austin TX 78741,4.0,$5,270,el jacalito,2030 E Oltorf St Austin TX 78741,3.2,$30,5,1
639,639,911,1391,pike place chowder,600 Pine St Seattle WA 98101,4.0,$20,543,pike place chowder,Pacific Place Level 4 600 Pine St Seattle WA 98101,3.6,$25,28,1
1842,1842,2936,2923,michi ramen,3005 S Lamar Blvd Austin TX 78704,3.5,$20,115,rockin tomato,3003 S Lamar Blvd Austin TX 78704,3.7,$35,6,0
44,44,95,2025,the city fish,30 E Santa Clara St San Jose CA 95113,4.5,$5,581,muchos,72 E Santa Clara St San Jose CA 95113,3.3,$25,3,0
1190,1190,1867,2985,north by northwest restaurant & brewery - slaughter,5701 W Slaughter Ln Austin TX 78749,3.5,$20,189,400 rabbits bar,5701 W Slaughter Lane Austin TX 78749,3.5,$15,2,0
1639,1639,2637,3075,el sunzal ,642 Calles St Austin TX 78702,4.0,$5,76,el sunzal,642 Calles St Austin TX 78702,3.2,$35,10,1
1859,1859,2968,716,mai thaiku,6705 Greenwood Ave N Seattle WA 98103,4.0,$20,173,thaiku,6705 Greenwood Avenue North Greenwood Seattle WA 98103,3.8,$35,15,1
110,110,179,457,salty sow,1917 Manor Rd Austin TX 78722,4.5,$20,1569,salty sow,1917 Manor Road Austin TX 78722,3.8,$90,25,1
1068,1068,1652,1227,bocaphÃª,222 Lafayette St New York NY 10012,4.0,$20,266,jack's wife freda,224 Lafayette St New York NY 10012,4.0,$60,28,0
733,733,1059,1839,clarkâs oyster bar,1200 W 6th St Austin TX 78703,4.0,$45,349,cafe josie,1200 W 6th St Austin TX 78703,3.5,$100,10,0
