,_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_ratingValue,ltable_price_range,ltable_number_of_reviews,rtable_name,rtable_address,rtable_ratingValue,rtable_price_range,rtable_number_of_reviews
0,0,0,29,dee dee,1906 E Cesar Chavez St Austin TX 78702,5.0,$20,125,la barbecue,1906 E Cesar Chavez St Austin TX 78702,4.0,$40,38
1,1,1,67,canlis,2576 Aurora Ave N Seattle WA 98109,4.0,$91,1041,canlis,2576 Aurora Avenue North Seattle WA 98109,4.1,$150,87
2,2,6,1009,list,2226 1st Ave Seattle WA 98121,4.5,$20,1210,list,2226 1st Avenue Seattle WA 98121,4.1,$45,32
3,3,7,433,second bar + kitchen,200 Congress Ave Austin TX 78701,4.0,$20,890,second bar + kitchen,200 Congress Avenue Austin TX 78701,3.9,$90,42
4,4,9,1128,il corvo pasta,217 James St Seattle WA 98104,4.5,$20,576,il corvo,217 James St Seattle WA 98104,3.9,$25,35
5,5,9,3115,il corvo pasta,217 James St Seattle WA 98104,4.5,$20,576,hole in the wall bbq,215 James St Seattle WA 98104,3.6,$25,9
6,6,10,2180,emmer & rye,51 Rainey St Austin TX 78701,4.0,$45,192,via 313,61 Rainey St Austin TX 78701,3.6,$30,8
7,7,10,2762,emmer & rye,51 Rainey St Austin TX 78701,4.0,$45,192,craft pride,61 Rainey St Austin TX 78701,3.2,$50,4
8,8,11,753,reserve a table,1346 Lincoln Ave San Jose CA 95125,4.0,$20,392,vin santo,1346 Lincoln Avenue San Jose CA 95125,3.8,$80,5
9,9,19,2296,reserve a table,558 Broome St New York NY 10013,4.5,$45,1322,la sirne,558 Broome St New York NY 10013,3.6,$150,12
10,10,24,949,samba kitchen & bar,661 9th Ave New York NY 10036,4.5,$20,110,guy's american kitchen & bar,220 W 44th St New York NY 10036,3.2,$125,55
11,11,25,3166,jack allen’s kitchen 360,3600 North Capital of Texas Hwy Austin TX 78746,4.5,$20,217,jack allen's kitchen,3600  Building D N Capitol Of Texas Hwy Austin TX 78746,3.3,$60,4
12,12,28,322,roaring fork,10850 Stonelake Blvd Austin TX 78759,4.0,$20,780,roaring fork,10850 Stonelake Blvd Austin TX 78759,3.9,$80,45
13,13,30,129,jack allen’s kitchen,7720 Hwy 71 W Austin TX 78735,4.5,$20,1143,jack allen's kitchen,7720 Highway 71 W Austin TX 78735,4.8,$60,87
14,14,35,1051,paesano ristorante italiano,350 W Julian St San Jose CA 95110,4.0,$20,616,paesano,350 W Julian St Suite 1 San Jose CA 95110,3.8,$30,3
15,15,40,309,elevenfifty new lounge & ,1150 Murphy Ave San Jose CA 95131,4.0,$20,67,california sourdough,1150 Murphy Avenue San Jose CA 95131,4.4,$30,3
16,16,49,3152,reserve a table,3 Greenwich Ave New York NY 10014,4.0,$20,1150,olio e piu,3 Greenwich Avenue New York NY 10014,3.5,$80,18
17,17,52,1489,rubirosa,235 Mulberry St New York NY 10012,4.0,$20,1082,rubirosa,235 Mulberry St New York NY 10012,4.1,$85,30
18,18,54,262,joule,3506 Stone Way N Seattle WA 98103,4.0,$20,580,joule,3506 Stone Way North Seattle WA 98103,4.0,$55,53
19,19,54,274,joule,3506 Stone Way N Seattle WA 98103,4.0,$20,580,the whale wins,3506 Stone Way N Seattle WA 98103,3.6,$60,47
20,20,55,668,the zig zag café,1501 Western Ave Seattle WA 98101,4.5,$20,762,zig zag cafe,1501 Western Avenue Seattle WA 98101,3.9,$50,23
21,21,56,988,mighty-o donuts,2110 N 55th St Seattle WA 98103,4.5,$5,658,mighty-o donuts,2110 North 55th St Seattle WA 98103,3.9,$15,28
22,22,59,336,sway,1417 S 1st St Austin TX 78704,4.0,$20,1057,sway,1417 S 1st St Austin TX 78704,3.7,$65,24
23,23,60,614,crow,823 5th Ave N Seattle WA 98109,4.0,$20,452,crow,823 5th Avenue North Seattle WA 98109,4.0,$50,37
24,24,63,242,umi sake house,2230 1st Ave Seattle WA 98121,4.0,$20,2642,umi sake house,2230 1st Avenue Seattle WA 98121,4.2,$75,69
25,25,65,511,eastside tavern,1510 E Cesar Chavez Austin TX 78702,4.0,$20,59,east side pies,1401 B Rosewood Avenue TX 78702,4.1,$35,20
26,26,66,2002,mkt.,2108 N 55th St Seattle WA 98103,4.5,$45,194,elysian brewing tangletown,2106 N 55th St Seattle WA 98103,3.2,$45,10
27,27,66,2539,mkt.,2108 N 55th St Seattle WA 98103,4.5,$45,194,mkt.,2108 North 55th St Seattle WA 98103,3.3,$50,11
28,28,68,1374,driskill grill,604 Brazos St Austin TX 78701,4.0,$91,168,the driskill grill - the driskill,604 Brazos St Austin TX 78701,3.7,$175,17
