,number_of_reviews,price_range,ratingValue,name,street,city,state,zipcode
0,1041,20.5,4.1,canlis,2576 Aurora Avenue,Seattle,WA,98109
1,1210,2.5,4.5,list,2226 1st,Seattle,WA,98121
2,890,5.0,3.9,second bar + kitchen,200 Congress,Austin,TX,78701
3,576,2.5,3.9,il corvo pasta,217 James,Seattle,WA,98104
4,780,0.0,3.9,roaring fork,10850 Stonelake,Austin,TX,78759
5,1143,0.0,4.8,jack allen’s kitchen,7720 Highway 71,Austin,TX,78735
6,616,5.0,3.8,paesano ristorante italiano,350 W Julian St Suite 1,San Jose,CA,95110
7,1082,2.5,4.1,rubirosa,235 Mulberry St,New York,NY,10012
8,580,7.5,4.0,joule,3506 Stone Way,Seattle,WA,98103
9,762,5.0,3.9,the zig zag café,1501 Western,Seattle,WA,98101
10,658,0.0,3.9,mighty-o donuts,2110 North 55th,Seattle,WA,98103
11,1057,2.5,3.7,sway,1417 S 1st,Austin,TX,78704
12,452,5.0,4.0,crow,823 5th Avenue,Seattle,WA,98109
13,2642,7.5,4.2,umi sake house,2230 1st,Seattle,WA,98121
14,194,7.5,4.5,mkt.,2108 North 55th,Seattle,WA,98103
15,168,33.0,3.7,the driskill grill - the driskill,604 Brazos,Austin,TX,78701
16,3185,0.0,4.3,serious pie,316 Virginia,Seattle,WA,98121
17,2797,0.0,4.7,toulouse petit,601 Queen Anne Avenue N Queen Anne:,Seattle,WA,98109
18,3994,0.0,4.5,piroshky piroshky,Pike Place Market 1908 Pike,Seattle,WA,98101
19,1622,5.0,3.6,biscuit bitch,1909 1st,Seattle,WA,98101
20,2763,5.0,4.2,lola,Hotel Andra 2000 4th,Seattle,WA,98121
21,581,5.0,2.9,the city fish,30 East Santa Clara St,San Jose,CA,95113
22,612,5.0,4.3,enoteca vespaio,1610 S Congress,Austin,TX,78704
23,370,7.5,4.5,the hightower,1209 E 7th,Austin,TX,78702
24,2137,25.5,4.5,gramercy tavern,42 E 20th St,New York,NY,10003
25,2137,25.5,4.5,gramercy tavern,42 E 20th St,New York,NY,10003
26,2136,5.0,3.8,smoking pig bbq company,1144 North 4th St,San Jose,CA,95112
27,463,2.5,3.6,chan seattle,Inn At The Market 86 Pine,Seattle,WA,98101
28,1107,7.5,4.5,tilikum place cafe,407 Cedar,Seattle,WA,98121
29,780,2.5,3.6,radiator whiskey,Pike Place Market 94 Pike St Suite,Seattle,WA,98101
30,224,5.0,3.6,pomodoro,2366 Eastlake Avenue E Eastlake/Lake,Seattle,WA,98102
31,4397,2.5,4.5,pike place chowder,Pike Place Market 1530 Post,Seattle,WA,98101
32,229,5.0,4.5,manolin,3621 Stone Way,Seattle,WA,98103
33,716,0.0,4.2,roaring fork - intercontinental,701 Congress,Austin,TX,78701
34,746,5.0,3.4,swift’s attic,315  Second Floor Congress,Austin,TX,78701
35,3172,7.5,4.6,franklin barbecue,900 East 11th,Austin,TX,78702
36,237,5.0,4.5,stella san jac,The Westin 310 E 5th,Austin,TX,78701
37,1320,0.5,4.5,uchiko,4200 N Lamar Blvd,140,TX,78756
38,982,5.0,3.7,odd duck,1201 S Lamar,Austin,TX,78704
39,2378,0.0,4.7,moonshine patio bar & grill,303 Red River,Austin,TX,78701
40,624,5.0,3.5,hey!... you gonna eat or what?,1720 Barton Springs,Austin,TX,78704
41,1569,5.0,3.8,salty sow,1917 Manor,Austin,TX,78722
42,782,2.5,2.7,paper plane,72 South 1st St,San Jose,CA,95113
43,1337,6.5,3.1,back a yard,80 North Market St,San Jose,CA,95113
44,628,7.5,3.8,contigo,2027 Anchor,Austin,TX,78723
45,298,20.5,3.5,iii forks steakhouse,111 Lavaca,Austin,TX,78701
46,187,2.5,3.5,cafe josie,1200 W 6th,Austin,TX,78703
47,747,95.5,4.0,the river café,1 Water,Brooklyn,NY,11201
48,757,5.0,3.7,mike’s noodle house,418 Maynard Avenue,Seattle,WA,98104
49,17,58.0,3.5,kuneho,1600 E 6th,Austin,TX,78702
50,369,5.0,3.3,la catalana,3720 N 1st St Suite A,San Jose,CA,95134
51,2005,20.5,4.1,babbo,110 Waverly Place,New York,NY,10011
52,2005,20.5,4.1,babbo,110 Waverly Place,New York,NY,10011
53,2534,5.0,4.2,jane,100 W Houston St,New York,NY,10012
54,1815,20.0,4.4,sj omogari korean ,154 Jackson St,San Jose,CA,95112
55,2165,2.5,4.2,pizza antica,334 Santana Row,San Jose,CA,95128
56,810,5.0,4.0,dan izakaya ,1306 Saratoga Avenue,San Jose,CA,95129
57,938,5.0,4.0,black bottle,2600 1st,Seattle,WA,98121
58,708,2.5,3.8,how to cook a wolf,2208 Queen Anne Avenue,Seattle,WA,98109
59,1349,2.5,3.7,din tai fung,2621 NE 46th,Seattle,WA,98105
60,984,5.0,3.6,gus’s world famous fried chicken,117 San Jacinto,Austin,TX,78701
61,627,7.5,3.6,six seven,Edgewater Hotel 2411 Alaskan,Seattle,WA,98121
62,141,5.0,3.5,blue dahlia bistro,3663 Bee Cave,Austin,TX,78746
63,648,20.5,3.6,aqua by el gaucho,Pier 70 2801 Alaskan,Seattle,WA,98121
